"id_gsn";"monastery_name";"Lon";"Lat";"Standort";"diocese";"order_name";"order_begin_tpq";"order_end_tpq";"alt_label_diocese";"RG_Abkuerzung";"id_order"
3786;"Zisterzienserinnenkloster Patershausen (Heusenstamm)";"8.8065";"50.034";"Patershausen";"Mainz";"Zisterzienserinnen";1252;1558;"eccl. Magunt.";"o. Cist.";28
3788;"Zisterzienserkloster Reifenstein";"10.363333";"51.346667";"Reifenstein";"Mainz";"Zisterzienser";1162;1803;"eccl. Magunt.";"o. Cist.";5
3789;"Zisterzienserinnenkloster Marienschloss, Rockenberg";"8.731323";"50.432803";"Rockenberg";"Mainz";"Zisterzienserinnen";1338;1802;"eccl. Magunt.";"o. Cist.";28
3790;"Zisterzienserinnenkloster Roßleben";"11.427972";"51.295222";"Roßleben";"Halberstadt";"Zisterzienserinnen";1234;1553;"eccl. Halberstad.";"o. Cist.";28
3792;"Zisterzienserinnenkloster Saalfeld, später Stadtilm";"11.078534";"50.774225";"Stadtilm";"Mainz";"Zisterzienserinnen";1267;1552;"eccl. Magunt.";"o. Cist.";28
3794;"Zisterzienserinnenkloster Stadtroda (Roda)";"11.72290967670134";"50.86117876248745";"Roda";"Naumburg";"Zisterzienserinnen";1240;1534;"eccl. Nuemburg.";"o. Cist.";28
3795;"Zisterzienserinnenkloster Teistungenburg";"10.264428";"51.480942";"Teistungen";"Mainz";"Zisterzienserinnen";1255;1809;"eccl. Magunt.";"o. Cist.";28
3796;"Zisterzienserinnenkloster Thron (bei Wehrheim)";"8.577643651";"50.28487095";"Thron";"Mainz";"Zisterzienserinnen";1243;1570;"eccl. Magunt.";"o. Cist.";28
3797;"Zisterzienserkloster Volkenroda";"10.567778";"51.250556";"Volkenroda";"Mainz";"Zisterzienser";1131;1540;"eccl. Magunt.";"o. Cist.";5
3798;"Zisterzienserkloster Wahlshausen/Wilhelmshausen";"9.580299968";"51.4034653";"Wahlshausen/Wilhelmshausen";"Mainz";"Kanonissen/Benediktinerinnen";1134;1310;"eccl. Magunt.";;68
3798;"Zisterzienserkloster Wahlshausen/Wilhelmshausen";"9.580299968";"51.4034653";"Wahlshausen/Wilhelmshausen";"Mainz";"Zisterzienser";1310;1554;"eccl. Magunt.";"o. Cist.";5
3799;"Wilhelmitenkloster Witzenhausen";"9.859743";"51.343930";"Witzenhausen";"Mainz";"Wilhelmiten (Ordo Fratrum Eremitarum Sancti Guilhelmi)";1291;1528;"eccl. Magunt.";;6
3800;"Zisterzienserinnenkloster Worbis";"10.367332";"51.417934";"Worbis";"Mainz";"Zisterzienserinnen";1311;1540;"eccl. Magunt.";"o. Cist.";28
3801;"Zisterzienserinnenkloster Allendorf";"10.2581364455998";"50.8190783336096";"Allendorf";"Mainz";"Zisterzienserinnen";1265;1525;"eccl. Magunt.";"o. Cist.";28
3803;"Zisterzienserkloster Arnsburg";"8.79212";"50.49371";"Arnsburg";"Mainz";"Zisterzienser";1174;1802;"eccl. Magunt.";"o. Cist.";5
3804;"Zisterzienserinnenkloster Aulhausen/Marienhausen";"7.895565";"49.996022";"Aulhausen";"Mainz";"Zisterzienserinnen";1171;1811;"eccl. Magunt.";"o. Cist.";28
3805;"Zisterzienserinnenkloster Ballhausen, später Großfurra";"10.792935";"51.38904";"Großfurra";"Mainz";"Zisterzienserinnen";1306;1538;"eccl. Magunt.";"o. Cist.";28
3805;"Zisterzienserinnenkloster Ballhausen, später Großfurra";"10.894546";"51.15666";"Ballhausen";"Mainz";"Zisterzienserinnen";1306;1538;"eccl. Magunt.";"o. Cist.";28
3806;"Zisterzienserinnenkloster Berka";"11.285191";"50.900609";"Berka";"Mainz";"Zisterzienserinnen";1241;1537;"eccl. Magunt.";"o. Cist.";28
3807;"Zisterzienserinnenkloster Beuren";"10.270613";"51.381632";"Beuren";"Mainz";"Zisterzienserinnen";1200;1810;"eccl. Magunt.";"o. Cist.";28
3808;"Zisterzienserinnenkloster Anrode, zuvor Breitenbich";"10.329444";"51.258611";"Anrode";"Mainz";"Zisterzienserinnen";1201;1810;"eccl. Magunt.";"o. Cist.";28
