id_gsn;monastery_name;Lon;Lat;Standort;diocese;order_name;order_begin_tpq;order_end_tpq;alt_label_diocese;RG_Abkuerzung;id_order
90225;Benediktinerinnenkloster Göss, Österreich;15.095833;47.363056;Göss;Salzburg;Benediktinerinnen;994;1782;eccl. Salzeburg.;o. s. Ben.;33
90227;Benediktinerkloster Rettel, Frankreich;6.3265166666667;49.4424;Rettel;Trier;Benediktiner;800;1431;eccl. Trever.;o. s. Ben.;16
90229;Benediktinerkloster St. Maria, Luxemburg, Luxemburg;6.142359;49.613317;Luxemburg;Trier;Benediktiner;1089;1543;eccl. Trever.;o. s. Ben.;16
90249;Benediktinerkloster Millstatt, Österreich;13.570833;46.804167;Millstatt;Salzburg;Benediktiner;1070;1469;eccl. Salzeburg.;o. s. Ben.;16
90261;Zisterzienserkloster Neuberg an der Mürz, Österreich;15.578611;47.663056;Neuberg an der Mürz;Salzburg;Zisterzienser;1327;1786;eccl. Salzeburg.;o. Cist.;5
90914;Zisterzienserkloster Baumgartenberg, Österreich;14.742777777778;48.208611111111;Baumgartenberg;Passau;Zisterzienser;1141;1784;eccl. Patav.;o. Cist.;5
90976;Benediktinerabtei St. Gallen, Schweiz;9.377222;47.423056;Sankt Gallen;Konstanz;Benediktiner;747;1805;eccl. Constant.;o. s. Ben.;16
92003;Zisterzienserinnenkloster Euskirchen-Schweinheim;6.851438473059077;50.60068356602651;Schweinheim;Köln;Zisterzienserinnen;1188;1802;eccl. Colon.;o. Cist.;28
92022;Zisterzienserinnenkloster Kalchrain, Schweiz;8.889740949343661;47.61105091449968;Kalchrain;Konstanz;Zisterzienserinnen;1331;1848;eccl. Constant.;o. Cist.;28
92026;Zisterzienserinnenkloster Kelbra;11.04015129448841;51.43696689188786;Kelbra (Kyffhäuser);Mainz;Zisterzienserinnen;1251;1551;eccl. Magunt.;o. Cist.;28
92035;Zisterzienserinnenkloster Klosterhäseler;11.61101807901398;51.16252245745807;Klosterhäseler;Mainz;Zisterzienserinnen;1239;1540;eccl. Magunt.;o. Cist.;28
92038;Zisterzienserinnenkloster Mariengarten, Köln;6.95362803078592;50.94097132745099;Mariengarten;Köln;Zisterzienserinnen;1200;1802;eccl. Colon.;o. Cist.;28
92039;Zisterzienserinnenkloster St. Mechtern (St. Apern), früher Augustinerchorherrenstift, Köln;6.920520735713339;50.94497956288652;Mechtern;Köln;Zisterzienserinnen;1277;1802;eccl. Colon.;o. Cist.;28
92039;Zisterzienserinnenkloster St. Mechtern (St. Apern), früher Augustinerchorherrenstift, Köln;6.945031958145706;50.938757056376204;Köln;Köln;Zisterzienserinnen;1277;1802;eccl. Colon.;o. Cist.;28
92040;Zisterzienserinnen-, später Birgittenkloster St. Maria im Spiegel, Köln;6.961941350742878;50.927696701498135;Köln;Köln;Zisterzienserinnen;1246;1613;eccl. Colon.;o. Cist.;28
92066;Zisterzienserinnenkloster Magdeburg (Agnetenkloster);11.64366048521404;52.15567551863266;Neustadt;Magdeburg;Zisterzienserinnen;1230;1810;eccl. Magdeburg.;o. Cist.;28
92090;Zisterzienserinnenkloster Marienthal, Sornzig;13.01935229896185;51.21351058352966;Sornzig-Ablaß;Meißen;Benediktinerinnen;1292;1539;eccl. Misnen.;o. s. Ben.;33
92091;Zisterzienserinnenkloster Marienthron, Nimbschen/Grimma;12.74274866222181;51.21497599199119;Nimbschen;Merseburg;Zisterzienserinnen;1243;1536;eccl. Merseburg.;o. Cist.;28
